timestamp,ambient_c,pump_vibration_mm_s,hvac_compressor_kw,solar_inverter_kw
2026-07-09 01:08,31.27,2.265,8.474,0.0
2026-07-09 01:09,31.72,2.183,8.412,0.0
2026-07-09 01:10,31.53,2.246,8.481,0.493
2026-07-09 01:11,31.73,2.182,8.853,0.538
2026-07-09 01:12,31.28,2.106,8.227,0.0
2026-07-09 01:13,31.51,2.357,9.213,0.019
2026-07-09 01:14,31.31,2.192,8.01,0.0
2026-07-09 01:15,31.28,2.123,8.219,1.429
2026-07-09 01:16,31.15,2.163,8.688,0.0
2026-07-09 01:17,31.54,2.275,8.959,0.0
2026-07-09 01:18,31.2,2.16,8.779,0.658
2026-07-09 01:19,31.07,2.256,8.187,0.0
2026-07-09 01:20,31.37,1.988,8.587,0.139
2026-07-09 01:21,31.51,2.261,8.345,0.0
2026-07-09 01:22,30.88,2.167,8.12,0.056
2026-07-09 01:23,31.26,2.313,8.509,0.0
2026-07-09 01:24,31.33,2.253,8.902,0.0
2026-07-09 01:25,31.12,2.191,8.394,0.0
2026-07-09 01:26,31.32,2.313,9.137,0.0
2026-07-09 01:27,31.13,2.394,7.877,0.389
2026-07-09 01:28,30.37,1.998,7.716,0.855
2026-07-09 01:29,30.89,2.084,8.494,0.0
2026-07-09 01:30,30.76,2.124,8.302,0.02
2026-07-09 01:31,31.1,2.079,8.217,0.0
2026-07-09 01:32,31.19,2.188,8.676,0.0
2026-07-09 01:33,31.1,2.353,8.357,0.0
2026-07-09 01:34,31.14,2.141,8.504,0.0
2026-07-09 01:35,30.68,2.122,8.556,0.0
2026-07-09 01:36,31.01,2.1,8.755,1.199
2026-07-09 01:37,30.48,2.281,7.779,0.0
2026-07-09 01:38,31.01,2.178,8.382,0.0
2026-07-09 01:39,30.77,2.234,8.116,0.085
2026-07-09 01:40,30.82,2.099,8.527,1.131
2026-07-09 01:41,31.04,2.284,8.643,0.243
2026-07-09 01:42,31.07,2.207,8.082,0.019
2026-07-09 01:43,30.72,2.241,8.622,0.121
2026-07-09 01:44,30.76,2.098,7.842,0.0
2026-07-09 01:45,30.82,2.179,8.457,0.059
2026-07-09 01:46,30.97,2.135,8.257,0.0
2026-07-09 01:47,30.76,2.319,8.263,0.0
2026-07-09 01:48,30.05,2.218,8.062,0.0
2026-07-09 01:49,30.95,2.174,8.306,0.0
2026-07-09 01:50,30.33,2.338,8.425,0.639
2026-07-09 01:51,31.1,2.398,8.44,0.0
2026-07-09 01:52,30.61,2.109,8.205,0.871
2026-07-09 01:53,30.91,2.357,7.946,0.0
2026-07-09 01:54,30.12,2.174,7.267,0.0
2026-07-09 01:55,30.19,2.173,7.621,0.511
2026-07-09 01:56,30.93,2.221,8.215,0.44
2026-07-09 01:57,30.07,2.23,7.972,0.133
2026-07-09 01:58,30.29,2.242,8.622,0.0
2026-07-09 01:59,30.45,2.123,8.884,0.124
2026-07-09 02:00,30.78,2.032,8.309,0.0
2026-07-09 02:01,30.04,2.21,8.19,0.313
2026-07-09 02:02,30.25,2.101,7.92,0.0
2026-07-09 02:03,30.42,2.11,8.076,0.0
2026-07-09 02:04,30.54,2.218,8.329,0.0
2026-07-09 02:05,30.44,2.264,7.676,0.127
2026-07-09 02:06,30.39,2.191,8.272,0.198
2026-07-09 02:07,30.48,2.215,7.934,0.0
2026-07-09 02:08,30.47,2.183,8.018,0.63
2026-07-09 02:09,30.69,2.106,7.923,0.165
2026-07-09 02:10,30.53,2.306,8.061,0.354
2026-07-09 02:11,30.7,2.263,8.406,0.15
2026-07-09 02:12,30.24,2.25,8.08,0.099
2026-07-09 02:13,30.28,2.131,7.773,0.0
2026-07-09 02:14,30.29,2.285,8.085,0.0
2026-07-09 02:15,30.01,1.958,8.059,0.532
2026-07-09 02:16,29.9,2.218,8.105,0.875
2026-07-09 02:17,29.85,2.154,8.055,1.245
2026-07-09 02:18,29.74,2.113,7.371,0.264
2026-07-09 02:19,29.61,2.002,7.665,0.455
2026-07-09 02:20,29.4,2.218,7.898,0.346
2026-07-09 02:21,29.87,2.07,7.963,0.4
2026-07-09 02:22,29.48,2.31,7.875,0.0
2026-07-09 02:23,30.1,2.226,7.934,0.546
2026-07-09 02:24,30.32,2.267,7.774,3.002
2026-07-09 02:25,29.8,2.13,8.488,0.336
2026-07-09 02:26,29.87,2.255,7.904,0.0
2026-07-09 02:27,29.65,2.202,7.844,0.588
2026-07-09 02:28,29.27,2.126,8.405,0.0
2026-07-09 02:29,29.97,2.084,7.75,0.195
2026-07-09 02:30,30.37,2.101,8.334,1.168
2026-07-09 02:31,29.52,2.173,8.109,0.701
2026-07-09 02:32,29.43,2.204,7.798,0.0
2026-07-09 02:33,29.38,2.259,8.583,1.487
2026-07-09 02:34,29.59,2.269,8.318,0.0
2026-07-09 02:35,30.25,2.189,7.942,0.096
2026-07-09 02:36,29.48,2.175,7.65,0.0
2026-07-09 02:37,30.04,2.191,7.733,0.0
2026-07-09 02:38,29.77,2.345,7.588,0.0
2026-07-09 02:39,29.52,2.319,7.445,0.0
2026-07-09 02:40,30.21,1.885,7.498,0.0
2026-07-09 02:41,29.78,2.178,7.644,0.0
2026-07-09 02:42,30.01,2.258,8.434,0.0
2026-07-09 02:43,29.94,2.171,7.984,0.0
2026-07-09 02:44,29.72,2.104,7.524,0.929
2026-07-09 02:45,30.23,2.227,7.569,0.0
2026-07-09 02:46,29.79,2.091,7.946,0.0
2026-07-09 02:47,29.84,2.152,7.223,0.402
2026-07-09 02:48,30.2,2.085,7.596,0.95
2026-07-09 02:49,29.62,2.26,7.901,0.0
2026-07-09 02:50,29.75,2.328,8.177,2.429
2026-07-09 02:51,29.69,2.093,8.346,0.657
2026-07-09 02:52,29.55,2.125,7.391,1.368
2026-07-09 02:53,29.72,2.293,8.225,0.78
2026-07-09 02:54,29.51,2.22,8.107,0.766
2026-07-09 02:55,29.66,2.421,8.208,0.696
2026-07-09 02:56,29.83,2.38,8.032,0.979
2026-07-09 02:57,29.74,2.29,7.774,0.878
2026-07-09 02:58,29.36,2.2,8.58,0.247
2026-07-09 02:59,29.44,2.208,7.647,0.0
2026-07-09 03:00,29.67,2.345,7.939,0.0
2026-07-09 03:01,29.6,2.048,8.39,0.331
2026-07-09 03:02,29.65,2.16,8.523,0.0
2026-07-09 03:03,29.39,2.095,7.79,0.0
2026-07-09 03:04,29.16,2.05,7.532,0.0
2026-07-09 03:05,29.22,2.248,7.986,0.0
2026-07-09 03:06,29.91,2.224,8.143,0.0
2026-07-09 03:07,28.94,2.157,8.112,0.0
2026-07-09 03:08,29.27,2.258,7.534,0.0
2026-07-09 03:09,29.7,2.187,8.582,0.0
2026-07-09 03:10,28.86,2.377,7.889,0.0
2026-07-09 03:11,29.94,2.211,7.57,0.335
2026-07-09 03:12,29.31,2.304,7.36,0.454
2026-07-09 03:13,30.16,2.233,7.438,0.0
2026-07-09 03:14,29.75,2.298,7.412,0.0
2026-07-09 03:15,30.11,2.386,7.922,0.878
2026-07-09 03:16,30.14,2.272,8.296,0.0
2026-07-09 03:17,30.0,2.165,7.993,0.0
2026-07-09 03:18,29.8,2.098,8.021,0.197
2026-07-09 03:19,29.56,2.279,8.562,0.0
2026-07-09 03:20,30.05,1.935,7.79,0.0
2026-07-09 03:21,29.93,2.247,8.191,0.0
2026-07-09 03:22,29.54,2.183,7.964,0.137
2026-07-09 03:23,30.04,2.292,8.477,0.569
2026-07-09 03:24,30.0,2.261,7.804,1.032
2026-07-09 03:25,30.44,2.204,8.25,0.333
2026-07-09 03:26,30.1,2.188,7.978,1.407
2026-07-09 03:27,29.98,2.288,8.045,0.233
2026-07-09 03:28,29.66,2.197,7.659,0.168
2026-07-09 03:29,30.13,2.275,8.131,0.0
2026-07-09 03:30,29.45,2.09,7.955,0.276
2026-07-09 03:31,29.69,2.213,7.864,0.0
2026-07-09 03:32,29.92,2.32,8.2,0.588
2026-07-09 03:33,29.78,2.106,7.559,2.303
2026-07-09 03:34,29.89,2.164,7.916,0.0
2026-07-09 03:35,29.59,2.061,7.962,0.0
2026-07-09 03:36,29.86,2.142,8.28,0.0
2026-07-09 03:37,29.5,2.266,7.878,0.327
2026-07-09 03:38,29.82,2.222,7.884,1.077
2026-07-09 03:39,30.05,2.082,7.688,0.0
2026-07-09 03:40,30.04,2.11,8.367,0.003
2026-07-09 03:41,29.7,1.941,7.774,0.0
2026-07-09 03:42,29.71,2.161,7.822,1.202
2026-07-09 03:43,29.6,2.325,7.514,0.0
2026-07-09 03:44,29.43,2.257,7.624,0.0
2026-07-09 03:45,30.41,2.119,8.123,0.502
2026-07-09 03:46,29.78,2.194,8.028,0.707
2026-07-09 03:47,29.83,2.232,7.95,0.0
2026-07-09 03:48,29.78,2.12,8.132,0.0
2026-07-09 03:49,30.09,2.072,8.116,0.134
2026-07-09 03:50,30.38,2.163,7.921,0.0
2026-07-09 03:51,29.86,2.228,8.005,0.0
2026-07-09 03:52,30.1,2.15,7.722,0.0
2026-07-09 03:53,29.74,2.283,8.254,0.033
2026-07-09 03:54,30.16,2.197,8.324,1.325
2026-07-09 03:55,30.16,2.287,7.954,0.0
2026-07-09 03:56,29.72,2.379,8.261,0.15
2026-07-09 03:57,30.57,2.105,7.851,0.0
2026-07-09 03:58,29.88,2.215,8.041,0.0
2026-07-09 03:59,29.89,2.072,8.113,0.0
2026-07-09 04:00,30.12,2.097,7.848,0.0
2026-07-09 04:01,30.2,2.276,8.245,0.832
2026-07-09 04:02,30.58,2.277,8.047,0.0
2026-07-09 04:03,30.35,2.133,8.244,0.422
2026-07-09 04:04,29.96,2.165,7.845,0.134
2026-07-09 04:05,30.17,2.031,7.412,0.573
2026-07-09 04:06,29.95,2.058,7.577,0.0
2026-07-09 04:07,30.33,2.245,8.037,0.606
2026-07-09 04:08,30.27,2.159,8.401,1.415
2026-07-09 04:09,30.67,2.293,8.488,0.0
2026-07-09 04:10,30.16,2.033,7.879,0.694
2026-07-09 04:11,30.28,2.065,7.951,0.819
2026-07-09 04:12,30.25,2.37,8.478,0.0
2026-07-09 04:13,30.12,2.198,8.048,0.858
2026-07-09 04:14,30.34,2.252,8.362,0.0
2026-07-09 04:15,30.13,2.315,8.149,0.0
2026-07-09 04:16,30.39,2.164,7.915,0.0
2026-07-09 04:17,30.7,2.087,8.045,0.916
2026-07-09 04:18,30.51,2.352,8.083,0.0
2026-07-09 04:19,30.59,2.167,7.828,0.991
2026-07-09 04:20,30.1,2.278,7.603,0.0
2026-07-09 04:21,30.23,2.117,7.897,0.579
2026-07-09 04:22,30.58,2.309,8.093,0.064
2026-07-09 04:23,30.9,2.29,8.73,0.815
2026-07-09 04:24,30.11,2.288,8.102,0.043
2026-07-09 04:25,30.43,2.242,8.403,0.0
2026-07-09 04:26,30.43,2.105,8.267,0.0
2026-07-09 04:27,30.35,2.228,8.12,0.0
2026-07-09 04:28,30.46,2.241,7.847,0.39
2026-07-09 04:29,31.16,2.106,8.169,0.155
2026-07-09 04:30,30.65,2.38,8.111,0.138
2026-07-09 04:31,30.43,2.343,8.419,0.0
2026-07-09 04:32,30.84,2.249,8.095,0.053
2026-07-09 04:33,30.63,2.168,7.551,0.741
2026-07-09 04:34,30.82,2.186,8.342,0.892
2026-07-09 04:35,30.66,2.521,8.181,0.135
2026-07-09 04:36,30.51,2.096,7.75,0.427
2026-07-09 04:37,30.95,2.065,8.636,0.958
2026-07-09 04:38,30.79,2.268,8.386,0.514
2026-07-09 04:39,30.69,2.079,8.43,0.424
2026-07-09 04:40,30.82,2.044,8.544,0.0
2026-07-09 04:41,31.05,2.124,8.726,0.099
2026-07-09 04:42,30.93,2.075,8.504,0.049
2026-07-09 04:43,30.82,2.164,8.397,0.0
2026-07-09 04:44,30.77,2.327,8.242,0.0
2026-07-09 04:45,30.42,1.988,8.145,0.145
2026-07-09 04:46,30.69,2.185,7.822,0.176
2026-07-09 04:47,30.8,2.226,7.752,0.0
2026-07-09 04:48,31.29,2.05,8.553,0.0
2026-07-09 04:49,31.24,2.267,8.192,0.175
2026-07-09 04:50,30.95,2.425,8.513,0.0
2026-07-09 04:51,30.72,2.18,8.256,0.0
2026-07-09 04:52,31.2,2.26,8.219,0.544
2026-07-09 04:53,31.24,2.094,8.667,0.0
2026-07-09 04:54,30.96,1.973,8.348,0.0
2026-07-09 04:55,31.01,2.16,7.906,0.0
2026-07-09 04:56,30.93,2.329,8.538,0.0
2026-07-09 04:57,30.75,2.269,8.209,0.189
2026-07-09 04:58,30.98,2.28,8.339,1.929
2026-07-09 04:59,31.47,2.265,8.161,1.088
2026-07-09 05:00,30.55,2.285,8.512,0.042
2026-07-09 05:01,31.51,2.271,8.331,0.585
2026-07-09 05:02,30.92,2.095,7.662,0.0
2026-07-09 05:03,30.88,2.145,7.96,0.692
2026-07-09 05:04,31.3,2.189,8.104,0.0
2026-07-09 05:05,31.24,2.277,7.484,0.888
2026-07-09 05:06,31.79,2.149,8.634,0.528
2026-07-09 05:07,31.43,2.135,8.888,0.635
2026-07-09 05:08,31.08,2.179,8.47,0.0
2026-07-09 05:09,31.49,2.073,8.905,0.0
2026-07-09 05:10,31.01,2.248,8.493,0.909
2026-07-09 05:11,31.72,2.221,8.233,1.059
2026-07-09 05:12,31.24,2.274,8.566,1.274
2026-07-09 05:13,30.95,2.172,8.384,0.0
2026-07-09 05:14,31.42,2.056,8.636,0.0
2026-07-09 05:15,31.67,2.06,8.908,1.895
2026-07-09 05:16,31.73,2.248,8.658,0.275
2026-07-09 05:17,31.38,2.341,8.079,1.567
2026-07-09 05:18,31.37,2.199,8.906,0.0
2026-07-09 05:19,31.58,2.317,8.37,0.0
2026-07-09 05:20,31.68,2.113,8.186,0.0
2026-07-09 05:21,31.25,2.127,8.529,0.043
2026-07-09 05:22,31.4,2.101,8.074,0.0
2026-07-09 05:23,31.37,2.202,8.294,1.942
2026-07-09 05:24,31.68,2.167,8.358,0.252
2026-07-09 05:25,31.4,2.243,8.608,1.048
2026-07-09 05:26,32.03,2.18,8.116,0.418
2026-07-09 05:27,31.46,2.293,8.369,0.814
2026-07-09 05:28,31.89,2.268,8.803,0.0
2026-07-09 05:29,31.79,2.4,8.769,0.601
2026-07-09 05:30,31.66,2.21,8.229,0.0
2026-07-09 05:31,31.76,2.22,8.951,0.0
2026-07-09 05:32,31.81,2.181,8.711,0.0
2026-07-09 05:33,31.72,2.107,8.035,0.0
2026-07-09 05:34,32.01,2.176,8.198,0.0
2026-07-09 05:35,31.71,2.172,8.489,0.0
2026-07-09 05:36,31.78,2.144,9.508,0.0
2026-07-09 05:37,32.04,2.184,8.789,0.0
2026-07-09 05:38,31.76,2.238,8.954,0.0
2026-07-09 05:39,32.09,2.268,8.403,0.145
2026-07-09 05:40,31.72,2.135,8.968,1.277
2026-07-09 05:41,32.08,2.116,8.438,1.286
2026-07-09 05:42,31.95,2.143,9.208,0.0
2026-07-09 05:43,32.45,2.183,8.998,0.0
2026-07-09 05:44,32.09,1.942,8.857,0.284
2026-07-09 05:45,31.72,2.125,8.443,0.0
2026-07-09 05:46,31.79,2.231,8.484,0.0
2026-07-09 05:47,32.17,2.185,9.019,0.082
2026-07-09 05:48,32.46,2.054,9.136,1.426
2026-07-09 05:49,32.11,2.164,8.87,0.416
2026-07-09 05:50,32.43,2.114,8.811,0.819
2026-07-09 05:51,32.13,2.278,8.81,0.0
2026-07-09 05:52,31.93,2.15,8.549,0.022
2026-07-09 05:53,32.44,2.465,8.781,0.631
2026-07-09 05:54,32.77,2.162,9.221,1.303
2026-07-09 05:55,32.36,2.25,8.694,0.0
2026-07-09 05:56,32.46,2.373,8.707,0.0
2026-07-09 05:57,32.54,2.11,8.672,0.218
2026-07-09 05:58,32.6,1.974,8.742,0.0
2026-07-09 05:59,32.32,2.112,8.835,1.19
2026-07-09 06:00,32.45,2.298,8.957,0.0
2026-07-09 06:01,32.52,2.19,8.227,0.0
2026-07-09 06:02,32.76,2.282,8.729,0.644
2026-07-09 06:03,32.46,2.33,8.969,0.0
2026-07-09 06:04,32.44,2.161,8.159,0.424
2026-07-09 06:05,32.71,2.158,9.846,0.0
2026-07-09 06:06,32.74,2.436,8.662,1.463
2026-07-09 06:07,32.87,2.208,9.673,1.426
2026-07-09 06:08,33.27,2.088,9.052,1.446
2026-07-09 06:09,32.37,2.213,8.966,0.31
2026-07-09 06:10,32.57,2.264,9.352,0.263
2026-07-09 06:11,32.49,2.138,9.268,0.0
2026-07-09 06:12,32.29,2.327,9.033,0.175
2026-07-09 06:13,32.54,2.268,8.874,0.585
2026-07-09 06:14,32.05,2.149,9.171,1.162
2026-07-09 06:15,32.68,2.166,9.126,0.463
2026-07-09 06:16,32.85,2.323,8.712,0.0
2026-07-09 06:17,32.93,2.158,8.868,0.0
2026-07-09 06:18,32.92,2.198,8.613,0.0
2026-07-09 06:19,32.58,2.223,8.796,0.178
2026-07-09 06:20,33.34,2.229,9.082,0.0
2026-07-09 06:21,33.28,2.261,9.496,1.451
2026-07-09 06:22,32.94,2.252,9.245,0.894
2026-07-09 06:23,33.07,2.327,9.377,2.029
2026-07-09 06:24,32.79,2.09,8.948,2.576
2026-07-09 06:25,33.24,2.05,8.697,2.871
2026-07-09 06:26,32.81,2.288,9.06,4.578
2026-07-09 06:27,33.33,2.185,9.237,2.374
2026-07-09 06:28,33.43,2.227,8.373,2.194
2026-07-09 06:29,33.43,2.196,9.646,1.681
2026-07-09 06:30,33.42,2.134,8.88,2.787
2026-07-09 06:31,33.28,2.312,8.673,3.236
2026-07-09 06:32,33.21,2.283,9.159,3.267
2026-07-09 06:33,32.7,2.163,8.951,4.74
2026-07-09 06:34,33.76,2.192,9.171,4.559
2026-07-09 06:35,33.21,1.994,9.328,4.586
2026-07-09 06:36,33.26,2.073,8.87,6.058
2026-07-09 06:37,33.14,2.242,9.221,6.645
2026-07-09 06:38,33.5,2.155,9.759,5.271
2026-07-09 06:39,33.08,2.114,8.968,6.253
2026-07-09 06:40,33.77,2.215,9.568,7.716
2026-07-09 06:41,33.97,2.049,9.168,5.586
2026-07-09 06:42,33.47,2.339,9.053,6.641
2026-07-09 06:43,33.32,2.229,8.802,7.716
2026-07-09 06:44,33.45,2.151,9.653,7.673
2026-07-09 06:45,32.68,2.1,8.788,7.224
2026-07-09 06:46,33.5,2.063,8.686,7.849
2026-07-09 06:47,33.33,2.136,9.115,9.136
2026-07-09 06:48,33.0,2.264,9.522,8.09
2026-07-09 06:49,32.78,2.226,8.599,10.301
2026-07-09 06:50,33.53,2.249,9.2,9.751
2026-07-09 06:51,33.54,2.336,9.426,10.844
2026-07-09 06:52,33.33,2.11,9.418,9.054
2026-07-09 06:53,33.26,2.191,9.831,11.067
2026-07-09 06:54,33.58,2.283,9.105,9.17
2026-07-09 06:55,33.6,2.255,9.214,12.223
2026-07-09 06:56,33.45,2.251,9.426,9.57
2026-07-09 06:57,33.33,2.201,9.075,10.421
2026-07-09 06:58,33.23,2.127,8.859,12.003
2026-07-09 06:59,34.15,2.34,8.785,11.708
2026-07-09 07:00,33.82,2.224,9.366,13.005
2026-07-09 07:01,33.63,2.052,8.78,13.032
2026-07-09 07:02,34.29,2.319,9.522,11.738
2026-07-09 07:03,33.84,2.08,8.997,12.948
2026-07-09 07:04,34.14,2.322,9.478,12.813
2026-07-09 07:05,34.79,2.22,9.428,12.154
2026-07-09 07:06,34.34,2.247,9.616,14.131
2026-07-09 07:07,34.59,2.128,9.376,14.556
2026-07-09 07:08,34.67,2.271,9.62,13.781
2026-07-09 07:09,34.14,2.037,9.457,14.402
2026-07-09 07:10,34.63,2.213,9.634,15.499
2026-07-09 07:11,34.11,2.271,8.897,14.769
2026-07-09 07:12,34.79,2.266,9.731,16.822
2026-07-09 07:13,34.49,2.205,10.182,16.855
2026-07-09 07:14,34.48,2.425,9.71,15.556
2026-07-09 07:15,34.5,2.113,9.504,15.902
2026-07-09 07:16,34.99,2.211,10.316,15.676
2026-07-09 07:17,34.84,2.346,10.265,19.162
2026-07-09 07:18,34.78,2.233,9.656,16.243
2026-07-09 07:19,34.92,2.344,10.011,17.748
2026-07-09 07:20,35.13,2.157,10.724,17.54
2026-07-09 07:21,35.47,2.171,9.727,17.533
2026-07-09 07:22,35.51,2.257,9.476,19.327
2026-07-09 07:23,35.3,2.068,9.838,18.573
2026-07-09 07:24,35.44,2.175,10.169,19.539
2026-07-09 07:25,35.59,2.313,9.669,19.636
2026-07-09 07:26,35.62,2.325,10.19,19.887
2026-07-09 07:27,35.6,2.308,10.516,21.451
2026-07-09 07:28,35.45,2.154,9.826,20.603
2026-07-09 07:29,35.79,2.326,10.323,21.561
2026-07-09 07:30,35.99,2.287,10.203,21.573
2026-07-09 07:31,35.83,2.18,10.241,22.321
2026-07-09 07:32,35.98,2.088,9.721,21.873
2026-07-09 07:33,36.32,2.045,10.373,22.457
2026-07-09 07:34,36.64,2.259,10.571,24.889
2026-07-09 07:35,35.98,2.369,9.702,23.285
2026-07-09 07:36,36.36,2.268,9.951,24.308
2026-07-09 07:37,35.93,2.15,9.919,22.984
2026-07-09 07:38,36.21,2.196,9.861,23.901
2026-07-09 07:39,36.59,2.07,10.01,25.028
2026-07-09 07:40,36.26,2.139,9.793,24.962
2026-07-09 07:41,36.69,2.227,10.053,25.739
2026-07-09 07:42,36.33,2.056,10.072,24.475
2026-07-09 07:43,36.29,2.193,10.645,26.594
2026-07-09 07:44,36.44,2.211,10.182,27.418
2026-07-09 07:45,36.31,2.325,10.521,26.39
2026-07-09 07:46,36.74,2.114,10.334,25.953
2026-07-09 07:47,36.48,2.263,10.323,26.177
2026-07-09 07:48,36.68,2.28,10.361,25.786
2026-07-09 07:49,37.23,2.403,10.694,28.372
2026-07-09 07:50,36.82,2.123,10.425,27.071
2026-07-09 07:51,36.75,2.312,10.417,28.193
2026-07-09 07:52,36.62,2.206,10.157,29.509
2026-07-09 07:53,37.01,2.293,9.748,28.471
2026-07-09 07:54,37.23,2.302,10.922,29.35
2026-07-09 07:55,36.88,2.194,10.159,29.469
2026-07-09 07:56,36.86,2.24,9.855,30.588
2026-07-09 07:57,37.17,2.197,10.358,31.336
2026-07-09 07:58,37.58,2.111,10.577,29.941
2026-07-09 07:59,36.86,2.189,10.637,30.348
2026-07-09 08:00,36.77,2.195,10.764,31.983
2026-07-09 08:01,37.33,2.304,10.753,33.01
2026-07-09 08:02,37.12,2.306,10.717,32.697
2026-07-09 08:03,37.12,2.107,10.874,32.589
2026-07-09 08:04,37.25,2.202,10.84,33.625
2026-07-09 08:05,37.43,2.252,10.907,31.34
2026-07-09 08:06,37.24,2.203,10.249,34.088
2026-07-09 08:07,37.28,2.258,10.564,33.262
2026-07-09 08:08,37.55,2.305,10.931,34.166
2026-07-09 08:09,37.06,2.226,10.861,35.539
2026-07-09 08:10,37.02,2.253,10.379,34.779
2026-07-09 08:11,37.31,2.243,10.8,34.105
2026-07-09 08:12,38.08,2.174,10.913,35.863
2026-07-09 08:13,37.57,2.245,10.696,37.37
2026-07-09 08:14,37.01,2.206,10.043,36.548
2026-07-09 08:15,37.25,2.311,10.797,36.904
2026-07-09 08:16,37.53,2.181,11.055,36.778
2026-07-09 08:17,37.77,2.029,10.662,36.913
2026-07-09 08:18,37.35,2.52,10.115,37.91
2026-07-09 08:19,37.59,2.195,10.523,36.475
2026-07-09 08:20,37.14,2.112,10.524,38.236
2026-07-09 08:21,37.27,2.288,10.642,38.408
2026-07-09 08:22,37.58,2.34,10.54,39.62
2026-07-09 08:23,38.05,2.264,10.765,37.921
2026-07-09 08:24,37.67,2.231,10.767,39.052
2026-07-09 08:25,37.44,2.278,10.54,41.458
2026-07-09 08:26,37.88,2.152,10.618,39.564
2026-07-09 08:27,37.82,2.27,10.809,39.711
2026-07-09 08:28,38.19,2.26,10.869,41.377
2026-07-09 08:29,37.81,2.207,10.631,40.865
2026-07-09 08:30,37.86,2.214,10.564,40.372
2026-07-09 08:31,38.2,2.351,10.712,43.017
2026-07-09 08:32,38.48,2.268,10.955,41.717
2026-07-09 08:33,38.21,2.414,11.337,42.584
2026-07-09 08:34,37.59,2.205,10.73,43.651
